Compounds	Object ID	InChI-Key	SMILES	
12-dehydrotetracycline	12-DEHYDROTETRACYCLINE	InChIKey=DUAVZCXHIINBQU-ILGMQVKHSA-N	CC4(C1(=CC=CC(=C1C(C2(=C(CC3(C(C(=C(C(C(C2=O)3O)=O)C(N)=O)[O-])[N+](C)C))4))=O)O))O	
1,2-dichloroethane	12-DICHLOROETHANE	InChIKey=WSLDOOZREJYCGB-UHFFFAOYSA-N	C(CCl)Cl	
1,2-didecanoylglycerol	12-DIDECANOYLGLYCEROL	InChIKey=GNSDEDOVXZDMKM-NRFANRHFSA-N	CCCCCCCCCC(=O)OCC(CO)OC(CCCCCCCCC)=O	
1,2-dihydrosantonin	12-DIHYDROSANTONIN	InChIKey=KTZIVFXVIOPPCI-UZDABKLJSA-N	CC3(C1(C(C2(C(CC1)(C=CC(=C2C)O)C))OC(=O)3))	
1,2-dihydrovomilenine	12-DIHYDROVOMILENINE	InChIKey=DRMGJVPVCAJMDJ-UYSDZIPHSA-N	CC=C4([CH]3(C5(C(OC(C)=O)C26(C1(C(=CC=CC=1)N[CH]2[CH](C3)N(C(O)4)[CH]5C6)))))	
1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate	12-DIHYDROXY-6-METHYLCYCLOHEXA-35-DIEN	InChIKey=LHEBXDITPBTHSR-UHFFFAOYSA-M	CC1(=CC=CC(O)C(O)1C(=O)[O-])	
12-hydroxydihydrochelirubine	12-HYDROXYDIHYDROCHELIRUBINE	InChIKey=LEHAJESKGINQOW-UHFFFAOYSA-N	C2(C5(=C6(OCOC(=CC(OC)=C(C1(=CC(O)=C3(C=C4(OCOC(=CC(=C1N(C)2)3)4))))5)6)))	
1,2-propanediol 1-phosphate	12-PROPANEDIOL-1-PHOSPHATE	InChIKey=PDKDLYHHQBVFJL-UHFFFAOYSA-L	CC(O)COP(=O)([O-])[O-]	
1,2,3,5-tetrahydroxybenzene	1235-TETRAHYDROXYBENZENE	InChIKey=RDJUHLUBPADHNP-UHFFFAOYSA-N	C1(C(O)=CC(O)=C(C=1O)O)	
1,2,4-trichlorobenzene	124-TCB	InChIKey=PBKONEOXTCPAFI-UHFFFAOYSA-N	C1(C(Cl)=CC(=C(C=1)Cl)Cl)	
1,3-&beta;-D-galactosyl-(&alpha;-1,4-L-fucosyl)-<i>N</i>-acetyl-D-glucosaminyl- R	13-BETA-D-GALACTOSYL-14-ALPHA-L-FU		CC3(OC(OC2(C(CO)OC(O[R])C(NC(=O)O)C(OC1(OC(CO)C(O)C(O)C(O)1))2))C(O)C(O)C(O)3)	
1,3-&beta;-D-galactosyl-<i>N</i>-acetyl-D-glucosaminyl-1,3-&beta;-D-galactosyl-1,4-D-glucosylceramide	13-BETA-D-GALACTOSYL-N-ACETYL-D-GLU		CCCCCCCCCCCCCC=CC(O)C(COC4(OC(CO)C(OC3(OC(CO)C(O)C(OC2(OC(CO)C(O)C(OC1(OC(CO)C(O)C(O)C(O)1))C(NC(C)=O)2))C(O)3))C(O)C(O)4))NC(=O)[R]	
1,3-&beta;-D-galactosyl-<i>N</i>-acetyl-D-glucosaminyl-R	13-BETA-D-GALACTOSYL-N-ACETYL-D-GLUCO		C(O)C2(OC(OC1(C(O)C(CO)OC(O[R])C(NC(=O)O)1))C(O)C(O)C(O)2)	
1,3-dihydroxy-N-methylacridone	13-DIHYDROXY-N-METHYLACRIDONE	InChIKey=GDALETGZDYOOGB-UHFFFAOYSA-N	CN2(C3(C=CC=CC(C(=O)C1(C(O)=CC(O)=CC=12))=3))	
13-hydroxylupanine	13-HYDROXYLUPININE	InChIKey=JVYKIBAJVKEZSQ-UHFFFAOYSA-O	C4(CC(O)CC3(C1(CC(C2(CCCC(N(C1)2)=O))C[N+]34)))	
(13E)-11-&alpha;-hydroxy-9,15-dioxoprost-13-enoate	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1	InChIKey=VXPBDCBTMSKCKZ-XQHNHVHJSA-M	CCCCCC(=O)C=CC1(C(O)CC(=O)C(CCCCCCC(=O)[O-])1)	
1,5-anhydro-D-fructose	15-ANHYDRO-D-FRUCTOSE	InChIKey=OCLOLUFOLJIQDC-HSUXUTPPSA-N	C(C1(C(C(C(CO1)=O)O)O))O	
1,5-anhydro-D-glucitol	15-ANHYDRO-D-GLUCITOL	InChIKey=MPCAJMNYNOGXPB-SLPGGIOYSA-N	C(O)C1(OCC(O)C(O)C(O)1)	
1,5-dideoxy-1,5-imino-D-galactitol	15-DIDEOXY-15-IMINO-D-GALACTITOL	InChIKey=LXBIFEVIBLOUGU-DPYQTVNSSA-O	C1([N+]C(CO)C(O)C(O)C(O)1)	
15,16-dihydrobiliverdin	1516-DIHYDROBILIVERDIN	InChIKey=ZQHDSLZHMAUUQK-ZTYGKHTCSA-L	C=CC1(=C(C)C(NC1=CC4(=C(C)C(CCC(=O)[O-])=C(C=C2(C(CCC(=O)[O-])=C(C)C(=N2)C[CH]3(C(C)=C(C=C)C(=O)N3)))N4))=O)	
16-dehydroprogesterone	16-17-DIDEHYDROPROGESTERONE	InChIKey=VRRHHTISESGZFN-RKFFNLMFSA-N	CC(=O)C2(=CCC3(C4(CCC1(=CC(=O)CCC(C)1C(CCC(C)23)4))))	
16-&alpha;-hydroxyprogesterone	16-ALPHA-HYDROXYPROGESTERONE	InChIKey=LOVNYFVWYTXDRE-UHFFFAOYSA-N	CC(=O)C2(C(CC3(C4(CCC1(=CC(CCC1(C)C(CCC23C)4)=O))))O)	
16-&alpha;-hydroxysteroid	16-ALPHA-HYDROXYSTEROID	InChIKey=KVUXYQHEESDGIJ-QCQGDQOKSA-N	CC34(C(C2(C(C1(C(CC(O)CC1)CC2)C)CC3))CC(O)C4)	
16-&beta;-hydroxysteroid	16-BETA-HYDROXYSTEROID	InChIKey=KVUXYQHEESDGIJ-AQJURQQMSA-N	CC34(C(C2(C(C1(C(CC(O)CC1)CC2)C)CC3))CC(O)C4)	
16-epivellosimine	16-EPIVELLOSIMINE	InChIKey=MHASSCPGKAMILD-JNPAWNQGSA-N	C[CH]=C5(CN1([CH]4(C[CH]([CH]([CH]=O)[CH]1CC3(=C(NC2(=C(C=CC=C2)3))4))5)))	
16-hydroxytabersonine	16-HYDROXYTABERSONINE	InChIKey=FXUFRJQCBVSCRZ-ACRUOGEOSA-O	CCC25(C=CC[N+]4(CCC1(C3(C=CC(O)=CC(NC1=C(C(=O)OC)C2)=3))[CH]45))	
3-hydroxy-16-methoxy-2,3-dihydrotabersonine	16-METHOXY-23-DIHYDRO-3-HYDROXYTABERSON	InChIKey=MLIQIRKAHMVCDD-MMGCJVFTSA-O	CCC15(C=CC[N+]4(CCC2(C3(=CC=C(C=C(NC(C(O)(C1)C(=O)OC)2)3)OC))C45))	
16-oxosteroid	16-OXOSTEROID	InChIKey=WDSIJVKJXHSMCM-UHFFFAOYSA-N	CC34(C(C2(C(C1(C(CC(O)CC1)CC2)C)CC3))CC(=O)C4)	
(20S)-17,20-dihydroxypregn-4-en-3-one	17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-	InChIKey=MASCESDECGBIBB-HNXXTFFGSA-N	CC(O)C1(O)(CC[CH]3(C(C)1CC[CH]4(C2(C)(CCC(=O)C=C2CC[CH]34))))	
17-&beta;-hydroxyandrostan-3-one	17-BETA-HYDROXYANDROSTAN-3-ONE	InChIKey=NVKAWKQGWWIWPM-MISPCMORSA-N	CC34([CH]2([CH]([CH]1(C(C(O)CC1)(C)CC2))CC[CH]3CC(=O)CC4))	
1,7-diaminoheptane	17-DIAMINOHEPTANE	InChIKey=PWSKHLMYTZNYKO-UHFFFAOYSA-P	C(CCCCCC[N+])[N+]	
17-<i>O</i>-acetylnorajmaline	17-O-ACETYLNORAJMALINE	InChIKey=VAOXSMUPPRUEKF-ZXDSMUBISA-N	CCC4([CH]3(C5(C(OC(C)=O)C26(C1(C(=CC=CC=1)N[CH]2[CH](C3)N(C(O)4)[CH]5C6)))))	
17-O-deacetylvindoline	17-O-DEACETYLVINDOLINE	InChIKey=ZDKMPOJNYNVYLA-VNHSMJFPSA-O	CCC15(C4(C2(C(C(C(OC)=O)(C1O)O)N(C3(=C2C=CC(OC)=C3))C)CC[N+]4CC=C5))	
1,8-diaminooctane	18-DIAMINOOCTANE	InChIKey=PWGJDPKCLMLPJW-UHFFFAOYSA-P	C(CCCCCCC[N+])[N+]	
18-hydroxycorticosterone	18-HYDROXYCORTICOSTERONE	InChIKey=HFSXHZZDNDGLQN-ZVIOFETBSA-N	CC24(CCC(=O)C=C(CC[CH]1([CH]3(CCC(C(=O)CO)C(CO)(CC(O)[CH]12)3)))4)	
(<i>S</i>)-2,3-dihydrodipicolinate	2-3-DIHYDRODIPICOLINATE	InChIKey=UWOCFOFVIBZJGH-YFKPBYRVSA-L	C1(CC(N=C(C=1)C(=O)[O-])C(=O)[O-])	
3-(2,3-dihydroxyphenyl)propanoate	2-3-DIHYDROXYPHENYL-PROPIONATE	InChIKey=QZDSXQJWBGMRLU-UHFFFAOYSA-M	C(CCC1(C(=C(C=CC=1)O)O))([O-])=O	
2,5-dihydroxypyridine	2-5-DIHYDROXYPYRIDINE	InChIKey=CHGPEDOMXOLANF-UHFFFAOYSA-N	C1(C(O)=CC=C(O)N=1)	
2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA	2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	InChIKey=NFWZJXFBUKDGOX-HWCXJHOSSA-I	CC(C)(COP([O-])(=O)OP([O-])(=O)OCC2(C(O)C(OC1(C(O)C(O)C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1))C(O2)N4(C=NC3(C(N)=NC=NC=34))))C(O)C(=O)NCCC(=O)NCCS	
2-acetamidofluorene	2-ACETAMIDOFLUORENE	InChIKey=CZIHNRWJTSTCEX-UHFFFAOYSA-N	CC(=O)NC3(C=CC2(C1(C(=CC=CC=1)CC=2C=3)))	
(<i>S</i>)-2-aceto-2-hydroxybutanoate	2-ACETO-2-HYDROXY-BUTYRATE	InChIKey=VUQLHQFKACOHNZ-LURJTMIESA-M	CCC(O)(C(=O)[O-])C(C)=O	
(<i>S</i>)-2-acetolactate	2-ACETO-LACTATE	InChIKey=NMDWGEGFJUBKLB-YFKPBYRVSA-M	CC(=O)C(C)(O)C(=O)[O-]	
2-(&alpha;-hydroxyethyl)thiamine diphosphate	2-ALPHA-HYDROXYETHYL-THPP	InChIKey=RRUVJGASJONMDY-UHFFFAOYSA-L	CC2(=C(SC(C(C)O)=[N+](CC1(C=NC(C)=NC(N)=1))2)CCOP(=O)([O-])OP(=O)([O-])[O-])	
2-(&alpha;-lactyl)-thiamine diphosphate	2-ALPHA-LACTYL-THPP	InChIKey=PBCKWCANTYUPCE-UHFFFAOYSA-K	CC2([N+](CC1(=C(N)N=C(N=C1)C))=C(CC(C(=O)[O-])O)SC=2CCOP([O-])(=O)OP([O-])([O-])=O)	
aminocarboxymuconate semialdehyde	2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	InChIKey=KACPVQQHDVBVFC-OIFXTYEKSA-L	C(=O)([O-])C(=C(C([O-])=O)N)C=CC=O	
2-amino-3-ketoadipate	2-AMINO-3-KETOADIPATE	InChIKey=HXWZRYKURKEOSO-UHFFFAOYSA-L	C(CC(=O)[O-])C(=O)C(N)C(=O)[O-]	
<i>(2S)</i>-2-amino-3-oxo-4-phosphonooxybutanoate	2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE	InChIKey=LMKSRFWSQAKTOE-VKHMYHEASA-L	C(=O)([O-])C([N+])C(=O)COP(=O)([O-])[O-]	
2-amino-4-carboxypyrimidine	2-AMINO-4-CARBOXYPYRIMIDINE	InChIKey=GKFPFLBDQJVJIH-UHFFFAOYSA-M	C1(=CC(=NC(=N1)N)C(=O)[O-])	
2-amino-4-oxo-pentoate	2-AMINO-4-OXO-PENTOATE	InChIKey=QUCHWTCTBHQQDU-UHFFFAOYSA-N	CC(=O)CC([N+])C([O-])=O	
2-amino-5-oxocyclohex-1-enecarboxyl-CoA	2-AMINO-5-OXOCYCLOHEX-1-ENECARBOXYL-COA	InChIKey=CNGNJOBQFRZLRY-TYHXJLICSA-J	CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C1(CC(=O)CCC(N)=1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]	
2-aminomuconate	2-AMINO-MUCONATE	InChIKey=ZRHONLCTYUYMIQ-TZFCGSKZSA-L	C([O-])(=O)C=CC=C(N)C(=O)[O-]	
3-oxo-L-alanine	2-AMINOMALONATE-SEMIALDEHYDE	InChIKey=XMTCKNXTTXDPJX-REOHCLBHSA-N	[CH](=O)C([N+])C(=O)[O-]	
2-aminomuconate 6-semialdehyde	2-AMINOMUCONATE_SEMIALDEHYDE	InChIKey=QCGTZPZKJPTAEP-REDYYMJGSA-M	C(C=C(C([O-])=O)N)=CC=O	
2-aryl-2-methylmalonate	2-ARYL-2-METHYLMALONATE		CC([R])(C(=O)[O-])C(=O)[O-]	
2-arylpropionate	2-ARYLPROPIONATE		CC([R])C(=O)[O-]	
2-<i>O</i>-(&beta;-D-glucopyranosyl)-<i>sn</i>-glycerol	2-BETA-D-GLUCOSYL-SN-GLYCEROL	InChIKey=AQTKXCPRNZDOJU-SYHAXYEDSA-N	C(C(OC1(OC(C(O)C(C1O)O)CO))CO)O	
2-(&beta;-D-glucosyl)-sn-glycerol 3-phosphate	2-BETA-D-GLUCOSYL-SN-GLYCEROL-3-PHOSPH	InChIKey=PLJAVYDLNJODGD-VMQOHUEUSA-L	C(C(OC1(OC(C(O)C(C1O)O)CO))COP([O-])([O-])=O)O	
2-butyne-1,4-diol	2-BUTYNE-14-DIOL	InChIKey=DLDJFQGPPSQZKI-UHFFFAOYSA-N	C(O)C#CCO	
2-C-methyl-D-erythritol 4-phosphate	2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	InChIKey=XMWHRVNVKDKBRG-UHNVWZDZSA-L	CC(O)(CO)C(O)COP([O-])([O-])=O	
2-carboxy-D-arabinitol	2-CARBOXY-D-ARABINITOL	InChIKey=XONDRGRALZTVKD-ZMIZWQJLSA-M	C(C(C(C(C([O-])=O)(CO)O)O)O)O	
2-carboxy-D-arabinitol 1-phosphate	2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE	InChIKey=UJTMIRNFEXKGMS-UHFFFAOYSA-K	C(C(C(C(COP([O-])([O-])=O)(C([O-])=O)O)O)O)O	
2-carboxymuconate	2-CARBOXYMUCONATE	InChIKey=SLUDRBHRUDRZJZ-HNQUOIGGSA-K	C(=CC(=O)[O-])C=C(C(=O)[O-])C(=O)[O-]	
2-methyleneglutarate	2-CH2-GLUTARATE	InChIKey=CWNNYYIZGGDCHS-UHFFFAOYSA-L	C=C(C([O-])=O)CCC(=O)[O-]	
2-chloroethanol	2-CHLOROETHANOL	InChIKey=SZIFAVKTNFCBPC-UHFFFAOYSA-N	C(Cl)CO	
2-chloroethylamine	2-CHLOROETHYLAMINE	InChIKey=VKPPFDPXZWFDFA-UHFFFAOYSA-O	C(Cl)C[N+]	
(+)-4-chloromuconolactone	2-CL-5-OXO-2-5-DIH-FURAN-2-ACETATE	InChIKey=WGZZDRVKIXVYEI-ZCFIWIBFSA-M	C([O-])(=O)CC1(Cl)(OC(=O)C=C1)	
(2<i>R</i>,3<i>S</i>)-3-isopropylmalate	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	InChIKey=RNQHMTFBUSSBJQ-CRCLSJGQSA-L	CC(C)C(C([O-])=O)C(C([O-])=O)O	
2-dehydro-3-deoxy-D-fuconate	2-DEHYDRO-3-DEOXY-D-FUCONATE	InChIKey=VIWKBGJQSKXILW-AVLQTNBFSA-M	CC(O)C(O)C(O)=CC(=O)[O-]	
